Country,Clicks,Impressions,CTR,Position
United States,196,19388,1.01%,12.61
Pakistan,8,105,7.62%,13.85
United Kingdom,7,1438,0.49%,22.69
Canada,4,665,0.6%,19.59
Australia,3,448,0.67%,23.14
India,3,398,0.75%,22.53
South Africa,2,83,2.41%,12.54
Philippines,1,299,0.33%,22.28
Brazil,1,207,0.48%,13.93
France,1,174,0.57%,14.25
Italy,1,161,0.62%,15.58
Belgium,1,45,2.22%,9.98
Chile,1,29,3.45%,11.03
Dominican Republic,1,19,5.26%,11.32
Puerto Rico,1,12,8.33%,8.08
Vietnam,0,382,0%,28.13
Germany,0,290,0%,14.4
Indonesia,0,218,0%,22.13
Netherlands,0,202,0%,23.15
United Arab Emirates,0,162,0%,8.48
Spain,0,140,0%,14.78
Mexico,0,132,0%,18.95
Singapore,0,112,0%,35.65
Poland,0,97,0%,18.97
Malaysia,0,96,0%,25.76
China,0,94,0%,8.26
Japan,0,93,0%,12.34
New Zealand,0,92,0%,13.01
Russia,0,91,0%,20.84
Bangladesh,0,84,0%,29.71
Thailand,0,78,0%,21.71
Turkey,0,77,0%,20.97
Sweden,0,72,0%,15.89
Argentina,0,66,0%,14.56
Denmark,0,60,0%,21.73
Morocco,0,59,0%,28.36
South Korea,0,57,0%,14.72
Ireland,0,56,0%,12.93
Norway,0,48,0%,16.1
Nigeria,0,47,0%,9
Ukraine,0,47,0%,18.36
Colombia,0,42,0%,19.74
Saudi Arabia,0,42,0%,20.69
Iran,0,41,0%,8.24
Portugal,0,39,0%,11.56
Israel,0,39,0%,20.03
Hungary,0,37,0%,11.32
Switzerland,0,37,0%,15.24
Taiwan,0,35,0%,8.34
Greece,0,32,0%,9.38
Serbia,0,31,0%,7.58
Finland,0,31,0%,16.1
Algeria,0,30,0%,30.57
Austria,0,27,0%,12.15
Jordan,0,25,0%,27.92
Kenya,0,24,0%,10.21
Peru,0,24,0%,12.12
Iraq,0,22,0%,23.86
Egypt,0,22,0%,24.86
Ecuador,0,21,0%,23.67
Hong Kong,0,19,0%,8.89
Czechia,0,16,0%,9.62
Venezuela,0,15,0%,15.93
Romania,0,13,0%,9.15
Nepal,0,13,0%,20.15
Lithuania,0,12,0%,7.92
Paraguay,0,12,0%,9.5
Bulgaria,0,12,0%,9.75
Belarus,0,12,0%,25.58
Slovenia,0,10,0%,8.9
Tunisia,0,10,0%,20.8
Costa Rica,0,9,0%,8.67
Myanmar (Burma),0,9,0%,10.11
Georgia,0,9,0%,10.56
Croatia,0,9,0%,12.11
Latvia,0,9,0%,12.22
Lebanon,0,9,0%,24.67
Azerbaijan,0,8,0%,8.25
Uruguay,0,8,0%,12.12
El Salvador,0,8,0%,19.62
Trinidad & Tobago,0,7,0%,9.57
Estonia,0,7,0%,10.86
Kuwait,0,7,0%,11.14
Jamaica,0,7,0%,13.71
Moldova,0,7,0%,19.29
Kazakhstan,0,7,0%,24.43
Slovakia,0,6,0%,9
Albania,0,5,0%,6.6
Uganda,0,5,0%,9
Cameroon,0,5,0%,9.8
Turkmenistan,0,5,0%,9.8
Zimbabwe,0,5,0%,10
Syria,0,5,0%,10.6
Palestine,0,5,0%,24.2
Oman,0,5,0%,26.2
Bahrain,0,5,0%,29.8
Armenia,0,4,0%,6.75
Kyrgyzstan,0,4,0%,8.25
Ghana,0,4,0%,9
Luxembourg,0,4,0%,12.75
Bolivia,0,4,0%,15
Uzbekistan,0,4,0%,15.5
Honduras,0,3,0%,3.67
Libya,0,3,0%,6.67
Bahamas,0,3,0%,9
Sri Lanka,0,3,0%,9
Kosovo,0,3,0%,9.33
Cyprus,0,3,0%,9.67
Nicaragua,0,3,0%,12
Tanzania,0,3,0%,12
Bosnia & Herzegovina,0,3,0%,17.33
Ethiopia,0,3,0%,21.67
Western Sahara,0,3,0%,31
Rwanda,0,3,0%,34
Senegal,0,3,0%,41.33
Burkina Faso,0,3,0%,45
Brunei,0,2,0%,2.5
St. Lucia,0,2,0%,4
Zambia,0,2,0%,5
Congo - Kinshasa,0,2,0%,7.5
Unknown Region,0,2,0%,7.5
Malta,0,2,0%,8
Iceland,0,2,0%,10
Montenegro,0,2,0%,10
Panama,0,2,0%,14.5
Mauritius,0,2,0%,17
Cambodia,0,2,0%,18
Congo - Brazzaville,0,2,0%,21.5
Réunion,0,2,0%,39
Cayman Islands,0,1,0%,3
Guinea,0,1,0%,3
French Polynesia,0,1,0%,3
Yemen,0,1,0%,3
Fiji,0,1,0%,4
Turks & Caicos Islands,0,1,0%,4
Anguilla,0,1,0%,5
Haiti,0,1,0%,5
Cuba,0,1,0%,7
Macedonia,0,1,0%,7
Northern Mariana Islands,0,1,0%,8
Somalia,0,1,0%,8
Guatemala,0,1,0%,9
Laos,0,1,0%,9
Madagascar,0,1,0%,9
Mauritania,0,1,0%,9
Malawi,0,1,0%,9
Gabon,0,1,0%,10
U.S. Virgin Islands,0,1,0%,10
Angola,0,1,0%,11
St. Kitts & Nevis,0,1,0%,11
Macau,0,1,0%,11
Mozambique,0,1,0%,11
Mali,0,1,0%,12
Papua New Guinea,0,1,0%,12
Sudan,0,1,0%,12
Côte d’Ivoire,0,1,0%,20
Qatar,0,1,0%,88
