Date,Clicks,Impressions,CTR,Position
2026-06-09,1,187,0.53%,13.6
2026-06-10,0,119,0%,12.4
2026-06-11,1,122,0.82%,11.1
2026-06-12,2,138,1.45%,15.3
2026-06-13,2,183,1.09%,16.5
2026-06-14,1,161,0.62%,13.2
2026-06-15,1,144,0.69%,18.5
2026-06-16,4,168,2.38%,16.5
2026-06-17,0,144,0%,12.6
2026-06-18,2,163,1.23%,13.9
2026-06-19,2,140,1.43%,14
2026-06-20,2,145,1.38%,13.8
2026-06-21,3,172,1.74%,14.8
2026-06-22,2,137,1.46%,15.1
2026-06-23,0,130,0%,19.3
2026-06-24,1,148,0.68%,13.2
2026-06-25,2,109,1.83%,14.3
2026-06-26,0,118,0%,12
2026-06-27,1,109,0.92%,10.2
2026-06-28,1,141,0.71%,14.8
2026-06-29,3,157,1.91%,19
2026-06-30,1,115,0.87%,14.3
2026-07-01,2,142,1.41%,12.9
2026-07-02,2,135,1.48%,10.5
2026-07-03,2,120,1.67%,11.6
2026-07-04,1,199,0.5%,12.3
2026-07-05,1,129,0.78%,14.4
2026-07-06,3,127,2.36%,14.5
2026-07-07,0,128,0%,12.5
2026-07-08,1,136,0.74%,14.9
2026-07-09,2,143,1.4%,9.9
2026-07-10,2,214,0.93%,19.3
2026-07-11,4,197,2.03%,17.6
2026-07-12,0,273,0%,13.9
2026-07-13,1,170,0.59%,15.1
2026-07-14,0,196,0%,20.7
2026-07-15,4,160,2.5%,15.3
2026-07-16,3,132,2.27%,10.9
2026-07-17,2,165,1.21%,16.9
2026-07-18,2,220,0.91%,8.7
2026-07-19,1,152,0.66%,11.7
2026-07-20,1,131,0.76%,12.9
2026-07-21,4,129,3.1%,13.6
2026-07-22,3,159,1.89%,14
2026-07-23,0,194,0%,16.6
2026-07-24,1,200,0.5%,14.1
2026-07-25,1,158,0.63%,13
2026-07-26,1,187,0.53%,13.8
2026-07-27,2,169,1.18%,16
2026-07-28,0,210,0%,17.4
2026-07-29,0,205,0%,14.2
2026-07-30,4,196,2.04%,15.5
2026-07-31,0,224,0%,13.9
2026-08-01,1,217,0.46%,13.4
2026-08-02,0,195,0%,13.9
2026-08-03,0,217,0%,12.3
2026-08-04,2,195,1.03%,9.8
2026-08-05,2,190,1.05%,12.3
2026-08-06,3,250,1.2%,12.4
2026-08-07,1,217,0.46%,10.2
2026-08-08,2,251,0.8%,9.4
2026-08-09,2,352,0.57%,11.3
2026-08-10,1,337,0.3%,12.8
2026-08-11,1,218,0.46%,14
2026-08-12,1,263,0.38%,11.3
2026-08-13,0,192,0%,15.3
2026-08-14,2,182,1.1%,15.5
2026-08-15,0,196,0%,13.1
2026-08-16,1,295,0.34%,13.8
2026-08-17,2,234,0.85%,12.2
2026-08-18,1,192,0.52%,14.8
2026-08-19,0,215,0%,16.6
2026-08-20,2,198,1.01%,14.9
2026-08-21,2,165,1.21%,22.5
2026-08-22,2,152,1.32%,17
2026-08-23,1,132,0.76%,11.3
2026-08-24,1,126,0.79%,20.1
2026-08-25,4,134,2.99%,18.2
2026-08-26,0,177,0%,16.6
2026-08-27,0,163,0%,15.2
2026-08-28,3,177,1.69%,16.7
2026-08-29,6,169,3.55%,17.5
2026-08-30,2,159,1.26%,20.3
2026-08-31,2,185,1.08%,17.1
2026-09-01,1,135,0.74%,15
2026-09-02,0,159,0%,11.7
2026-09-03,1,160,0.62%,14.4
2026-09-04,3,131,2.29%,13.6
2026-09-05,3,158,1.9%,12.3
2026-09-06,0,156,0%,17
2026-09-07,2,188,1.06%,12.1
2026-09-08,0,151,0%,16.5
