Country,Clicks,Impressions,CTR,Position
United States,120,11368,1.06%,11.59
Pakistan,6,81,7.41%,13.73
United Kingdom,2,819,0.24%,21.14
Canada,2,324,0.62%,19.45
Australia,2,251,0.8%,22.01
South Africa,2,44,4.55%,10.45
India,1,274,0.36%,27.2
Philippines,1,213,0.47%,26.05
France,1,94,1.06%,16.2
Italy,1,79,1.27%,14.58
Puerto Rico,1,9,11.11%,7.67
Vietnam,0,257,0%,30.18
Germany,0,173,0%,17.83
United Arab Emirates,0,156,0%,8.31
Indonesia,0,133,0%,27.93
Netherlands,0,108,0%,30.22
Brazil,0,81,0%,13.09
Mexico,0,81,0%,20.26
Spain,0,74,0%,17.76
Malaysia,0,65,0%,33.28
Bangladesh,0,63,0%,31.57
Russia,0,62,0%,26.66
New Zealand,0,58,0%,12.24
Thailand,0,58,0%,25.78
Japan,0,52,0%,14.17
Singapore,0,52,0%,31.54
Poland,0,49,0%,17.57
Turkey,0,48,0%,26
Morocco,0,44,0%,32.89
Argentina,0,41,0%,14.63
Sweden,0,38,0%,20.03
Denmark,0,34,0%,17.82
Saudi Arabia,0,34,0%,21.71
Norway,0,31,0%,12.48
Ukraine,0,31,0%,23.16
Iran,0,26,0%,7.69
Belgium,0,26,0%,10.81
Israel,0,26,0%,17.85
China,0,25,0%,7.88
Portugal,0,25,0%,13.44
Ireland,0,25,0%,15.32
Colombia,0,25,0%,19.48
South Korea,0,24,0%,18.96
Hungary,0,23,0%,10.78
Jordan,0,22,0%,30.23
Algeria,0,22,0%,32.09
Serbia,0,17,0%,9.24
Greece,0,17,0%,10.35
Switzerland,0,17,0%,11.82
Nigeria,0,16,0%,10.12
Peru,0,15,0%,14.13
Egypt,0,15,0%,27.67
Austria,0,14,0%,10.14
Hong Kong,0,12,0%,8.58
Taiwan,0,12,0%,8.92
Chile,0,12,0%,9.33
Dominican Republic,0,10,0%,8.4
Kenya,0,10,0%,10.8
Venezuela,0,10,0%,13.2
Finland,0,10,0%,13.3
Ecuador,0,10,0%,27.4
Iraq,0,10,0%,32.3
Czechia,0,9,0%,9.11
Croatia,0,8,0%,10.88
Nepal,0,8,0%,24
Lithuania,0,6,0%,7.17
Paraguay,0,6,0%,8.5
Myanmar (Burma),0,6,0%,9.17
Slovenia,0,6,0%,10.83
El Salvador,0,6,0%,19
Belarus,0,6,0%,41
Bulgaria,0,5,0%,9.4
Turkmenistan,0,5,0%,9.8
Georgia,0,5,0%,10.6
Romania,0,4,0%,8.75
Tunisia,0,4,0%,17.75
Kazakhstan,0,4,0%,19.75
Uzbekistan,0,3,0%,4.67
Armenia,0,3,0%,5.33
Azerbaijan,0,3,0%,6.67
Trinidad & Tobago,0,3,0%,7.33
Cameroon,0,3,0%,9.33
Moldova,0,3,0%,10
Costa Rica,0,3,0%,11.67
Syria,0,3,0%,12.33
Luxembourg,0,3,0%,16.67
Latvia,0,3,0%,18
Burkina Faso,0,3,0%,45
Albania,0,2,0%,2.5
Zambia,0,2,0%,5
Malta,0,2,0%,8
Uruguay,0,2,0%,8.5
Ghana,0,2,0%,9
Cyprus,0,2,0%,9.5
Estonia,0,2,0%,9.5
Bolivia,0,2,0%,10
Palestine,0,2,0%,15
Slovakia,0,2,0%,16.5
Western Sahara,0,2,0%,24
Jamaica,0,2,0%,28
Oman,0,2,0%,28
Lebanon,0,2,0%,65
Honduras,0,1,0%,1
Cayman Islands,0,1,0%,3
St. Lucia,0,1,0%,3
Fiji,0,1,0%,4
Turks & Caicos Islands,0,1,0%,4
Tanzania,0,1,0%,4
Anguilla,0,1,0%,5
Libya,0,1,0%,5
Cuba,0,1,0%,7
Sri Lanka,0,1,0%,7
Somalia,0,1,0%,8
Guatemala,0,1,0%,9
Iceland,0,1,0%,9
Madagascar,0,1,0%,9
Mauritania,0,1,0%,9
Malawi,0,1,0%,9
Congo - Kinshasa,0,1,0%,10
Congo - Brazzaville,0,1,0%,10
Nicaragua,0,1,0%,10
U.S. Virgin Islands,0,1,0%,10
Angola,0,1,0%,11
St. Kitts & Nevis,0,1,0%,11
Kuwait,0,1,0%,12
Sudan,0,1,0%,12
Kosovo,0,1,0%,17
Bosnia & Herzegovina,0,1,0%,41
Senegal,0,1,0%,50
Réunion,0,1,0%,51
Rwanda,0,1,0%,82
