Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8333883,"The Devil's Code (Kidd & LuEllen, #3)",John Sandford,"Sandford, John",,"=""""","=""""",4,3.94,G.P. Putnam's Sons,Kindle Edition,368,2009,,2018/05/11,2018/05/07,,,read,,,,1,0
57281804,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.02,William Morrow,Kindle Edition,259,2013,2013,2023/07/25,2023/06/27,,,read,,,,1,0
60784891,Red Team Blues (Martin Hench #1),Cory Doctorow,"Doctorow, Cory",,"=""1250865867""","=""9781250865861""",4,3.91,Tor Books,Kindle Edition,234,2023,2023,2023/05/31,2023/05/24,,,read,,,,1,0
18865952,"The Tools: 5 Tools to Help You Find Courage, Creativity, and Willpower--and Inspire You to Live Life in Forward Motion",Phil Stutz,"Stutz, Phil",Barry Michels,"=""""","=""""",0,3.88,Random House,Kindle Edition,289,2012,2012,,2022/12/07,currently-reading,currently-reading (#28),currently-reading,,,,1,0
42290616,The Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",0,4.45,,Kindle Edition,2510,2018,2000,2019/08/04,2018/10/13,currently-reading,currently-reading (#9),currently-reading,,,,2,0
60067154,"Righteous Prey (Lucas Davenport #32, Virgil Flowers #14)",John Sandford,"Sandford, John",,"=""""","=""""",0,4.42,G.P. Putnam's Sons,Kindle Edition,416,2022,2022,,2022/10/05,currently-reading,currently-reading (#27),currently-reading,,,,1,0
58577488,"The Investigator (Letty Davenport, #1)",John Sandford,"Sandford, John",,"=""""","=""""",5,4.28,G.P. Putnam's Sons,Kindle Edition,400,2022,2022,2022/08/11,2022/07/20,,,read,,,,1,0
57641624,Prisoner's Dilemma,Richard Powers,"Powers, Richard",,"=""""","=""""",0,3.79,William Morrow Paperbacks,Kindle Edition,384,2021,1988,,2022/06/06,currently-reading,currently-reading (#26),currently-reading,,,,1,0
33792742,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816048""","=""""",0,3.92,Random House Canada,Kindle Edition,432,2018,2018,2018/11/30,2018/09/23,,,read,,,,2,0
226751,"The Shelters of Stone (Earth's Children, #5)",Jean M. Auel,"Auel, Jean M.",,"=""055328942X""","=""9780553289428""",4,3.86,Bantam,Mass Market Paperback,928,2003,2002,,2013/12/05,,,read,,,,1,0
40608963,"A Call to Insurrection (Honorverse: Manticore Ascendant, #4)",David Weber,"Weber, David","Timothy Zahn, Thomas  Pope","=""""","=""""",0,4.43,Baen Books,ebook,,2022,2022,,2022/01/25,to-read,to-read (#13),to-read,,,,0,0
56980245,Wakers (The Side Step Trilogy),Orson Scott Card,"Card, Orson Scott",,"=""1481496190""","=""9781481496193""",0,3.56,Margaret K. McElderry Books,Hardcover,400,2022,2022,,2022/01/25,to-read,to-read (#12),to-read,,,,0,0
38347801,Sixteen Ways to Defend a Walled City (The Siege #1),K.J. Parker,"Parker, K.J.",,"=""""","=""""",0,4.08,Orbit,Kindle Edition,386,2019,2019,,2022/01/16,currently-reading,currently-reading (#25),currently-reading,,,,1,0
36512332,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",5,4.21,Mariner Books,Kindle Edition,219,2007,1966,2022/01/14,2021/10/29,,,read,,,,1,0
57621073,Bewilderment,Richard Powers,"Powers, Richard",,"=""""","=""""",5,3.92,W. W. Norton & Company,Kindle Edition,288,2021,2021,2021/10/28,2021/10/20,,,read,,,,1,0
38103955,All My Friends Are Going to Be Strangers: A Novel (Houston Book 2),Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",0,3.85,Liveright,Kindle Edition,288,2018,1972,,2021/10/16,currently-reading,currently-reading (#24),currently-reading,,,,1,0
39673197,Moving On (Houston Book 1),Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",4,3.83,Liveright,Kindle Edition,1007,2018,1970,2021/10/15,2021/08/30,,,read,,,,1,0
57139780,The Lincoln Highway,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.23,Viking,Kindle Edition,576,2021,2021,,2021/10/12,currently-reading,currently-reading (#23),currently-reading,,,,1,0
8486137,Rhino Ranch,Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",4,3.68,,Kindle Edition,292,,2009,2021/08/30,2021/08/23,,,read,,,,1,0
9246502,When the Light Goes,Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",3,3.50,,Kindle Edition,210,,2007,2021/08/23,2021/08/21,,,read,,,,1,0
9664106,Duane's Depressed  ,Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",5,3.78,,Kindle Edition,434,,1999,2021/08/21,2021/08/15,,,read,,,,1,0
9141144,Texasville,Larry McMurtry,"McMurtry, Larry",,"=""""","=""""",4,3.74,,Kindle Edition,546,,1987,2021/08/15,2021/08/15,,,read,,,,1,0
